status,product,component,hardware,importance
1.0,147.0,315.0,21.0,2.0
0.0,50.0,309.0,1.0,2.0
1.0,11.0,353.0,3.0,2.0
0.0,121.0,240.0,41.0,4.0
1.0,100.0,309.0,59.0,5.0
0.0,100.0,309.0,1.0,5.0
1.0,5.0,157.0,59.0,2.0
1.0,2.0,189.0,40.0,5.0
1.0,43.0,46.0,59.0,5.0
1.0,100.0,309.0,59.0,5.0
1.0,136.0,450.0,1.0,2.0
1.0,43.0,46.0,1.0,2.0
0.0,100.0,309.0,21.0,4.0
1.0,5.0,38.0,59.0,2.0
1.0,42.0,116.0,59.0,5.0
1.0,42.0,116.0,59.0,5.0
1.0,100.0,130.0,1.0,2.0
1.0,100.0,264.0,59.0,3.0
1.0,136.0,404.0,59.0,5.0
1.0,42.0,116.0,59.0,5.0
1.0,42.0,116.0,59.0,5.0
1.0,137.0,447.0,59.0,4.0
1.0,100.0,264.0,21.0,5.0
1.0,5.0,38.0,40.0,5.0
1.0,43.0,46.0,1.0,2.0
1.0,42.0,116.0,1.0,4.0
1.0,100.0,130.0,21.0,2.0
0.0,100.0,300.0,59.0,4.0
1.0,11.0,352.0,1.0,5.0
1.0,50.0,46.0,41.0,5.0
1.0,100.0,264.0,59.0,5.0
1.0,100.0,309.0,59.0,5.0
0.0,100.0,309.0,59.0,2.0
1.0,43.0,46.0,1.0,2.0
1.0,100.0,309.0,1.0,2.0
1.0,136.0,452.0,59.0,5.0
0.0,100.0,309.0,59.0,5.0
1.0,95.0,24.0,59.0,5.0
1.0,42.0,116.0,47.0,5.0
1.0,100.0,251.0,59.0,5.0
1.0,43.0,46.0,47.0,2.0
1.0,50.0,309.0,59.0,5.0
1.0,43.0,46.0,47.0,3.0
1.0,147.0,315.0,55.0,5.0
0.0,11.0,350.0,27.0,5.0
1.0,100.0,309.0,37.0,2.0
1.0,75.0,293.0,37.0,2.0
1.0,100.0,309.0,59.0,5.0
0.0,100.0,300.0,1.0,2.0
0.0,100.0,29.0,59.0,4.0
1.0,50.0,46.0,59.0,5.0
0.0,100.0,29.0,59.0,5.0
1.0,100.0,313.0,59.0,5.0
1.0,11.0,353.0,41.0,5.0
0.0,100.0,309.0,1.0,2.0
1.0,43.0,46.0,59.0,2.0
1.0,50.0,46.0,59.0,2.0
1.0,5.0,157.0,59.0,2.0
1.0,50.0,46.0,59.0,5.0
1.0,100.0,264.0,59.0,5.0
1.0,42.0,116.0,47.0,5.0
1.0,100.0,309.0,59.0,5.0
